index,Date Sequence,Date Established,Park Name,State,Parks/State,Num Visitors,Acres,Km 2,Visits/Acre,Visits/Km2
0,13,2/26/1919,Acadia,Maine,1,4069098,49071.4,198.6,82.92,20488.91
1,51,10/31/1988,American Samoa,American Samoa,1,8495,8256.67,33.4,1.03,254.34
2,36,11/12/1971,Arches,Utah,5,1806865,76678.98,310.3,23.56,5822.96
3,39,11/10/1978,Badlands,South Dakota,2,1224226,242755.94,982.4,5.04,1246.16
4,28,6/12/1944,Big Bend,Texas,2,581220,801163.19,3242.2,0.73,179.27
5,42,6/28/1980,Biscayne,Florida,3,705655,172971.11,700,4.08,1008.08
6,56,10/21/1999,Black Canyon of the Gunnison,Colorado,4,308910,30779.83,124.6,10.04,2479.21
7,16,2/25/1928,Bryce Canyon,Utah,5,2104600,35835.08,145,58.73,14514.48
8,32,9/12/1964,Canyonlands,Utah,5,911594,337597.84,1366.2,2.7,667.25
9,37,12/18/1971,Capitol Reef,Utah,5,1405353,241904.5,979,5.81,1435.5
10,18,5/14/1930,Carlsbad Caverns,New Mexico,2,349244,46766.45,189.3,7.47,1844.92
11,41,3/5/1980,Channel Islands,California,9,319252,249561,1009.9,1.28,316.12
12,58,11/10/2003,Congaree,South Carolina,1,215181,26692.6,108,8.06,1992.42
13,5,5/22/1902,Crater Lake,Oregon,1,647751,183224.05,741.5,3.54,873.57
14,57,10/11/2000,Cuyahoga Valley,Ohio,1,2575275,32571.88,131.8,79.06,19539.26
15,54,10/31/1994,Death Valley,California,9,1146551,3408395.75,13793.3,0.34,83.12
16,12,2/26/1917,Denali,Alaska,8,229521,4740911,19185.8,0.05,11.96
17,52,10/26/1992,Dry Tortugas,Florida,3,83817,64701.22,261.8,1.3,320.16
18,20,5/30/1934,Everglades,Florida,3,942130,1508938.63,6106.5,0.62,154.28
19,43,12/2/1980,Gates of the Arctic,Alaska,8,7362,7523897.5,30448.1,0,0.24
20,61,2/22/2018,Gateway Arch,Missouri,1,1145081,91,0.4,12583.31,2862702.46
21,8,5/11/1910,Glacier,Montana,2,3081656,1013126.38,4100,3.04,751.62
22,44,12/2/1980,Glacier Bay,Alaska,8,89768,3223383.5,13044.6,0.03,6.88
23,63,2/26/2019,Grand Canyon,Arizona,3,4532677,1201647,4862.9,3.77,932.09
24,17,2/26/1929,Grand Teton,Wyoming,2,3885230,310044.38,1254.7,12.53,3096.54
25,50,10/27/1986,Great Basin,Nevada,2,144875,77180,312.3,1.88,463.9
26,59,9/13/2004,Great Sand Dunes,Colorado,4,602613,107345.73,434.4,5.61,1387.23
28,21,6/15/1934,Great Smoky Mountains,Tennessee,1,9837090,261213.44,1057.1,37.66,9305.73
27,21,6/15/1934,Great Smoky Mountains,North Carolina,1,4324458,261213.44,1057.1,16.56,4090.87
29,33,10/15/1966,Guadalupe Mountains,Texas,2,243291,86367.1,349.5,2.82,696.11
30,30,7/1/1961,Haleakala,Hawaii,2,853181,33264.62,134.6,25.65,6338.64
31,10,8/1/1916,Hawaii Volcanoes,Hawaii,2,1262747,325605.28,1317.7,3.88,958.3
32,15,3/4/1921,Hot Springs,Arkansas,1,2162884,5554.15,22.5,389.42,96128.18
33,62,2/15/2019,Indiana Dunes,Indiana,1,3177210,15349.08,62.1,207,51162.8
34,26,4/3/1940,Isle Royale,Michigan,1,25844,571790.31,2314,0.05,11.17
35,55,10/31/1994,Joshua Tree,California,9,3064400,795155.88,3217.9,3.85,952.3
36,45,12/2/1980,Katmai,Alaska,8,24764,3674529.25,14870.3,0.01,1.67
37,46,12/2/1980,Kenai Fjords,Alaska,8,411782,669650.06,2710,0.61,151.95
38,25,3/4/1940,Kings Canyon,California,9,562918,461901.19,1869.2,1.22,301.15
39,47,12/2/1980,Kobuk Valley,Alaska,8,11540,1750716.13,7084.9,0.01,1.63
40,48,12/2/1980,Lake Clark,Alaska,8,18278,2619816.5,10602,0.01,1.72
41,11,8/9/1916,Lassen Volcanic,California,9,359635,106589.02,431.4,3.37,833.65
42,27,7/1/1941,Mammoth Cave,Kentucky,1,515774,54016.29,218.6,9.55,2359.44
43,7,6/29/1906,Mesa Verde,Colorado,4,548477,52485.17,212.4,10.45,2582.28
44,4,1899-03-02,Mount Rainier,Washington,3,1670063,236381.64,956.6,7.07,1745.83
45,64,12/27/2020,New River Gorge,West Virginia,1,1682720,70808,294.41,23.76,5715.57
46,34,10/2/1968,North Cascades,Washington,3,17855,504780.94,2042.8,0.04,8.74
47,24,6/29/1938,Olympic,Washington,3,2718925,922649.44,3733.8,2.95,728.19
48,31,12/9/1962,Petrified Forest,Arizona,3,590334,221390.2,895.9,2.67,658.93
49,60,1/10/2013,Pinnacles,California,9,348857,26685.73,108,13.07,3230.16
50,35,10/2/1968,Redwood,California,9,435879,138999.38,562.5,3.14,774.9
51,9,1/26/1915,Rocky Mountain,Colorado,4,4434848,265807.25,1075.7,16.68,4122.76
52,53,10/14/1994,Saguaro,Arizona,3,1079786,92867.42,375.8,11.63,2873.3
53,2,1890-09-25,Sequoia,California,9,1059548,404062.63,1635.2,2.62,647.96
54,23,12/26/1935,Shenandoah,Virginia,1,1592312,200192.09,810.1,7.95,1965.57
55,40,11/10/1978,Theodore Roosevelt,North Dakota,1,796085,70446.89,285.1,11.3,2792.3
56,29,8/2/1956,Virgin Islands,U.S. Virgin Islands,1,323999,15052.33,60.9,21.52,5320.18
57,38,4/8/1975,Voyageurs,Minnesota,1,243042,218222.34,883.1,1.11,275.21
58,19,1/18/1933,White Sands,New Mexico,2,782469,146344.31,592.2,5.35,1321.29
59,6,1/9/1903,Wind Cave,South Dakota,2,709001,33970.84,137.5,20.87,5156.37
60,49,12/2/1980,Wrangell St Elias,Alaska,8,50189,8323146.5,33682.6,0.01,1.49
61,1,1872-03-01,Yellowstone,Wyoming,2,4860242,2219790.75,8983.2,2.19,541.04
62,3,1890-10-01,Yosemite,California,9,3287595,761747.5,3082.7,4.32,1066.47
63,14,11/19/1919,Zion,Utah,5,5039835,147242.66,595.9,34.23,8457.52
